s,count
2031,7
2032,4
2033,10
2034,7
2035,10
2036,9
2037,9
2038,6
2039,5
2040,5
2041,6
2042,5
2043,5
2044,4
2045,6
2046,6
2047,7
2048,7
2049,7
2050,9
2051,12
2052,10
2053,13
2054,18
2055,18
2056,11
2057,10
2058,8
2059,7
2060,11
2061,9
2062,5
2063,10
2064,8
2065,13
2066,12
2067,6
2068,12
2069,16
2070,11
2071,12
2072,9
2073,10
2074,8
2075,7
2076,8
2077,13
2078,10
2079,13
2080,11
2081,14
2082,10
2083,9
2084,11
2085,11
2086,14
2087,9
2088,9
2089,15
2090,17
2091,10
2092,7
2093,7
2094,9
2095,12
2096,10
2097,10
2098,9
2099,7
2100,9
2101,11
2102,12
2103,11
2104,13
2105,7
2106,6
2107,6
2108,9
2109,10
2110,5
2111,8
2112,12
2113,14
2114,5
2115,6
2116,5
2117,7
2118,7
2119,7
2120,8
2121,11
2122,7
2123,8
2124,10
2125,7
2126,12
2127,10
2128,12
2129,14
2130,12
2131,10
2132,11
2133,13
2134,13
2135,13
2136,13
2137,11
2138,14
2139,11
2140,15
2141,15
2142,10
2143,6
2144,12
2145,11
2146,8
2147,6
2148,10
2149,11
2150,8
2151,4
2152,6
2153,7
2154,9
2155,5
2156,7
2157,9
2158,8
2159,8
2160,6
2161,5
2162,6
2163,6
2164,6
2165,6
2166,6
2167,8
2168,9
2169,8
2170,10
2171,7
2172,7
2173,4
2174,8
2175,8
2176,6
2177,7
2178,5
2179,9
2180,9
2181,5
2182,4
2183,7
2184,4
2185,4
2186,5
2187,7
2188,6
2189,8
2190,5
2191,1
2192,4
2193,5
2194,9
2195,7
2196,9
2197,11
2198,7
2199,6
2200,8
2201,8
2202,4
2203,2
2204,5
2205,9
2206,9
2207,10
2208,5
2209,3
2210,5
2211,6
2212,10
2213,5
2214,5
2215,4
2216,12
2217,8
2218,7
2219,13
2220,5
2221,5
2222,7
2223,8
2224,13
2225,11
2226,7
2227,4
2228,6
2229,7
2230,9
2231,7
2232,6
2233,7
2234,5
2235,7
2236,7
2237,7
2238,6
2239,6
2240,5
2241,6
2242,4
2243,5
2244,10
2245,7
2246,7
2247,10
2248,9
2249,6
2250,5
2251,8
2252,8
2253,5
2254,8
2255,8
2256,9
2257,8
2258,8
2259,8
2260,11
2261,4
2262,5
2263,9
2264,5
2265,6
2266,3
2267,6
2268,8
2269,7
2270,10
2271,10
2272,7
2273,8
2274,8
2275,9
2276,11
2277,6
2278,8
2279,6
2280,4
2281,7
2282,10
2283,10
2284,10
2285,5
2286,7
2287,8
2288,5
2289,7
2290,4
2291,9
2292,5
2293,5
2294,9
2295,7
2296,4
2297,5
2298,5
2299,10
2300,7
2301,7
2302,5
2303,5
2304,6
2305,4
2306,7
2307,7
2308,4
2309,4
2310,4
2311,5
2312,9
2313,6
2314,3
2315,2
2316,4
2317,5
2318,3
2319,11
2320,6
2321,10
2322,8
2323,9
2324,8
2325,8
2326,4
2327,7
2328,6
2329,6
2330,6
2331,5
2332,6
2333,10
2334,9
2335,5
2336,5
2337,11
2338,13
2339,13
2340,8
2341,12
2342,8
2343,7
2344,5
2345,5
2346,6
2347,7
2348,7
2349,6
2350,5
2351,7
2352,10
2353,5
2354,9
2355,5
2356,5
2357,11
2358,9
2359,7
2360,5
2361,6
2362,11
2363,11
2364,9
2365,12
2366,10
2367,8
2368,7
2369,5
2370,7
2371,7
2372,8
2373,10
2374,7
2375,9
2376,14
2377,13
2378,8
2379,7
2380,6
2381,7
2382,7
2383,6
2384,8
2385,10
2386,11
2387,9
2388,7
2389,6
2390,8
2391,8
2392,11
2393,10
2394,13
2395,7
2396,8
2397,7
2398,4
2399,12
2400,8
2401,11
2402,8
2403,10
2404,14
2405,9
2406,6
2407,6
2408,9
2409,6
2410,6
2411,8
2412,10
2413,7
2415,4
2416,4
2417,9
2418,13
2419,8
2420,6
2421,6
2422,8
2423,7
2424,4
2425,5
2426,7
2427,10
2428,7
2429,13
2430,9
2431,10
2432,11
2433,14
2434,8
2435,8
2436,6
2437,6
2438,9
2439,12
2440,10
2441,6
2442,10
2443,10
2444,7
2445,6
2446,6
2447,9
2448,9
2449,9
2450,8
2451,6
2452,4
2453,11
2454,7
2455,12
2456,11
2457,10
2458,10
2459,7
2460,8
2461,11
2462,10
2463,7
2464,6
2465,14
2466,12
2467,10
2468,4
2469,6
2470,8
2471,8
2472,9
2473,11
2474,7
2475,8
2476,9
2477,14
2478,5
2479,7
2480,4
2481,5
2482,6
2483,9
2484,7
2485,13
2486,6
2487,7
2488,8
2489,5
2490,5
2491,6
2492,7
2493,12
2494,10
2495,6
2496,2
2497,8
2498,8
2499,16
2500,14
2501,13
2502,14
2503,12
2504,4
2505,5
2506,7
2507,9
2508,9
2509,15
2510,8
2511,8
2512,6
2513,5
2514,6
2515,10
2516,7
2517,13
2518,11
2519,10
2520,9
2521,6
2522,6
2523,3
2524,6
2525,6
2526,6
2527,10
2528,7
2529,8
2530,8
2531,4
2532,9
2533,7
2534,7
2535,5
2536,9
2537,7
2538,9
2539,8
2540,9
2541,15
2542,5
2543,8
2544,6
2545,7
2546,6
2547,8
2548,4
2549,6
2550,6
2551,7
2552,4
2553,9
2554,7
2555,6
2556,7
2557,3
2558,1
2559,7
2560,11
2561,7
2562,8
2563,7
2564,11
2565,9
2566,6
2567,7
2568,5
2569,7
2570,5
2571,7
2572,8
2573,6
2574,4
2575,2
2576,9
2577,6
2578,8
2579,8
2580,7
2581,5
2582,5
2583,7
2584,11
2585,9
2586,9
2587,7
2588,6
2589,9
2590,14
2591,9
2592,7
2593,13
2594,12
2595,13
2596,4
2597,11
2598,7
2599,7
2600,3
2601,6
2602,7
2603,11
2604,8
2605,9
2606,10
2607,6
2608,7
2609,9
2610,12
2611,13
2612,11
2613,11
2614,7
2615,9
2616,5
2617,7
2618,9
2619,10
2620,10
2621,8
2622,8
2623,10
2624,10
2625,7
2626,10
2627,11
2628,10
2629,11
2630,12
2631,9
2632,10
2633,10
2634,8
2635,10
2636,8
2637,10
2638,9
2639,8
2640,4
2641,7
2642,10
2643,12
2644,11
2645,3
2646,5
2647,8
2648,8
2649,10
2650,7
2651,11
2652,12
2653,10
2654,8
2655,10
2656,11
2657,13
2658,11
2659,11
2660,9
2661,10
2662,9
2663,16
2664,17
2665,12
2666,8
2667,10
2668,6
2669,7
2670,9
2671,6
2672,11
2673,8
2674,3
2675,4
2676,5
2677,7
2678,7
2679,6
2680,5
2681,4
2682,11
2683,6
2684,10
2685,4
2686,5
2687,7
2688,5
2689,7
2690,8
2691,9
2692,7
2693,8
2694,6
2695,5
2696,2
2697,2
2698,2
2699,3
2700,2
2701,3
2702,6
2703,8
2704,4
2705,6
2706,7
2707,5
2708,3
2709,6
2710,6
2711,9
2712,10
2713,10
2714,10
2715,9
2716,6
2717,10
2718,6
2719,7
2720,9
2721,10
2722,11
2723,8
2724,5
2725,8
2726,9
2727,12
2728,18
2729,17
2730,9
2731,11
2732,9
2733,10
2734,9
2735,12
2736,10
2737,10
2738,10
2739,7
2740,6
2741,4
2742,7
2743,5
2744,8
2745,6
2746,5
2747,8
2748,9
2749,7
2750,7
2751,6
2752,10
2753,13
2754,9
2755,6
2756,6
2757,5
2758,6
2759,5
2760,7
2761,10
2762,8
2763,9
2764,8
2765,7
2766,8
2767,9
2768,8
2769,4
2770,4
2771,6
2772,3
2773,1
2775,6
2776,8
2777,9
2778,5
2779,7
2780,5
2781,8
2782,8
2783,10
2784,12
2785,9
2786,7
2787,8
2788,8
2789,7
2790,10
2791,12
2792,12
2793,9
2794,8
2795,10
2796,11
2797,8
2798,11
2799,12
2800,11
2801,7
2802,8
2803,6
2804,8
2805,6
2806,7
2807,8
2808,7
2809,6
2810,5
2811,4
2812,1
2813,3
2814,3
2815,4
2816,6
2817,12
2818,11
2819,11
2820,6
2821,4
2822,3
2823,2
2824,7
2825,6
2826,5
2827,8
2828,4
2829,4
2830,5
2831,7
2832,7
2833,3
2834,3
2835,6
2836,5
2837,7
2838,5
2839,6
2840,4
2841,5
2842,7
2843,11
2844,10
2845,5
2846,7
2847,3
2848,5
2849,10
2850,7
2851,9
2852,4
2853,9
2854,8
2855,7
2856,6
2857,8
2858,5
2859,11
2860,4
2861,4
2862,2
2863,4
2864,4
2865,3
2866,4
2867,5
2868,8
2869,12
2870,6
2871,7
2872,4
2873,3
2874,3
2875,7
2876,8
2877,6
2878,8
2879,7
2880,6
2881,5
2882,9
2883,5
2884,5
2885,5
2886,8
2887,8
2888,9
2889,12
2890,8
2891,5
2892,7
2893,6
2894,8
2895,11
2896,8
2897,9
2898,6
2899,5
2900,5
2901,6
2902,4
2903,6
2904,7
2905,5
2906,3
2907,3
2908,6
2909,8
2910,9
2911,10
2912,9
2913,3
2914,6
2915,6
2916,7
2917,6
2918,2
2919,8
2920,9
2921,11
2922,9
2923,8
2924,5
2925,7
2926,5
2927,8
2928,6
2929,10
2930,9
2931,5
2932,6
2933,7
2934,10
2935,7
2936,6
2937,7
2938,9
2939,8
2940,8
2941,8
2942,9
2943,8
2944,7
2945,9
2946,10
2947,9
2948,7
2949,5
2950,7
2951,10
2952,6
2953,2
2954,3
2955,8
2956,4
2957,7
2958,4
2959,5
2960,5
2961,7
2962,8
2963,6
2964,9
2965,6
2966,5
2967,10
2968,10
2969,11
2970,5
2971,4
2972,8
2973,7
2974,8
2975,8
2976,6
2977,8
2978,8
2979,7
2980,3
2981,7
2982,5
2983,7
2984,8
2985,6
2986,4
2987,5
2988,5
2989,8
2990,6
2991,5
2992,4
2993,5
2994,6
2995,5
2996,6
2997,3
2998,3
2999,8
3000,7
3001,4
3002,4
3003,3
3004,5
3005,5
3006,11
3007,6
3008,4
3009,3
3010,7
3011,6
3012,7
3013,5
3014,8
3015,11
3016,11
3017,5
3018,6
3019,9
3020,6
3021,7
3022,9
3023,7
3024,6
3025,5
3026,5
3027,7
3028,8
3029,4
3030,5
3031,6
3032,5
3033,3
3034,7
3035,6
3036,9
3037,7
3038,4
3039,2
3040,4
3041,7
3042,11
3043,10
3044,7
3045,9
3046,6
3047,8
3048,3
3049,6
3050,7
3051,6
3052,4
3053,7
3054,11
3055,11
3056,12
3057,10
3058,9
3059,3
3060,6
3061,7
3062,7
3063,4
3064,6
3065,6
3066,5
3067,8
3068,7
3069,3
3070,5
3071,4
3072,6
3073,6
3074,9
3075,8
3076,5
3077,4
3078,5
3079,7
3080,9
3081,5
3082,6
3083,9
3084,10
3085,2
3086,2
3087,4
3088,5
3089,6
3090,4
3091,5
3092,7
3093,8
3094,5
3095,11
3096,8
3097,7
3098,4
3099,2
3100,1
3101,4
3102,2
3103,3
3104,3
3105,3
3106,4
3107,3
3108,2
3109,5
3110,6
3111,5
3112,6
3113,5
3114,4
3115,2
3116,4
3117,3
3118,2
3119,2
3120,4
3121,3
3122,1
